,animal,birthdate,genotype,sex,recording,start,cell,dt,angiotensin,potassium,end,len_seg,num_events,activity,num_events_5min,activity_5min,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,pos,comment
23,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean21,0.05,500,4,9000,450.0,59,0.1311111111111111,58,0.19333333333333333,,0.631697687535251,57.0,88.65,1.0,0.0022222222222222222,,
24,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean3,0.05,500,4,9000,450.0,45,0.09999999999999999,45,0.15,,0.44493882091212456,41.0,89.9,1.0,0.0022222222222222222,,
25,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean4,0.05,500,4,9000,450.0,94,0.20888888888888887,74,0.24666666666666665,200.15,0.5503989863065879,41.5,68.525,2.0,0.0044444444444444444,,
26,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean6,0.05,500,4,9000,450.0,156,0.3466666666666666,156,0.5199999999999999,,0.6514042954920934,,,,,,
27,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean7,0.05,500,4,9000,450.0,106,0.23555555555555555,106,0.35333333333333333,,0.60841881853555,87.0,141.35,1.0,0.0022222222222222222,,
28,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean8,0.05,500,4,9000,450.0,70,0.15555555555555553,70,0.23333333333333334,,0.5662921348314607,,,,,,
29,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean9,0.05,500,4,9000,450.0,107,0.23777777777777775,107,0.35666666666666663,50.900000000000006,0.6488666348630244,25.5,39.800000000000004,3.0,0.006666666666666667,,
30,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean1,0.05,500,4,9000,450.0,89,0.19777777777777775,82,0.2733333333333333,35.050000000000004,0.48978548114474585,11.0,20.637500000000003,4.0,0.008888888888888889,,
31,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean11,0.05,500,4,9000,450.0,76,0.16888888888888887,32,0.10666666666666666,126.15,0.45743736574316385,18.0,37.25,3.0,0.006666666666666667,,
32,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean12,0.05,500,4,9000,450.0,2,0.0044444444444444444,0,0.0,,,,,,,,
33,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean13,0.05,500,4,9000,450.0,37,0.08222222222222222,26,0.08666666666666666,19.450000000000003,0.532685648098902,18.5,32.95,2.0,0.0044444444444444444,,
34,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean14,0.05,500,4,9000,450.0,109,0.2422222222222222,86,0.2866666666666666,87.075,0.6530265770372214,27.5,45.900000000000006,3.0,0.006666666666666667,,
35,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean15,0.05,500,4,9000,450.0,147,0.3266666666666666,121,0.4033333333333333,69.60000000000001,0.6040542034887877,28.5,47.650000000000006,3.0,0.006666666666666667,,
36,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean16,0.05,500,4,9000,450.0,136,0.3022222222222222,87,0.29,135.15,0.5631942738534974,87.0,132.85,2.0,0.0044444444444444444,,
37,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean17,0.05,500,4,9000,450.0,239,0.5311111111111111,168,0.5599999999999999,4.0,0.49421549654727537,223.0,375.25,2.0,0.0044444444444444444,,
38,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean18,0.05,500,4,9000,450.0,69,0.15333333333333332,68,0.22666666666666668,,0.7330415754923413,,,,,,
39,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean2,0.05,500,4,9000,450.0,90,0.19999999999999998,77,0.25666666666666665,168.60000000000002,0.5755579739198503,32.0,66.3,2.0,0.0044444444444444444,,
40,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean4,0.05,500,4,9000,450.0,90,0.19999999999999998,77,0.25666666666666665,168.60000000000002,0.5798921261002261,32.0,66.3,2.0,0.0044444444444444444,,
41,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean5,0.05,500,4,9000,450.0,106,0.23555555555555555,74,0.24666666666666665,92.9,0.44845530294389585,12.5,28.325000000000003,3.0,0.006666666666666667,,
42,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean6,0.05,500,4,9000,450.0,93,0.20666666666666667,92,0.30666666666666664,29.700000000000003,0.4913894866338476,36.0,66.67500000000001,2.0,0.0044444444444444444,,
43,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean7,0.05,500,4,9000,450.0,70,0.15555555555555553,58,0.19333333333333333,,0.38694074969770254,17.0,41.35,1.0,0.0022222222222222222,,
44,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean8,0.05,500,4,9000,450.0,81,0.17999999999999997,74,0.24666666666666665,35.91666666666667,0.4331974785489733,17.75,37.45,4.0,0.008888888888888889,,
45,USC-2320,2020-02-24,wt,m,200610_s3r1_Results.csv,0,Mean9,0.05,500,4,9000,450.0,97,0.21555555555555556,94,0.3133333333333333,,0.43624161073825496,66.0,149.0,1.0,0.0022222222222222222,,
46,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean1,0.05,500,4,9000,450.0,152,0.33777777777777773,152,0.5066666666666666,8.35,0.5375126574248513,54.0,116.2,2.0,0.0044444444444444444,,
47,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean10,0.05,500,4,9000,450.0,59,0.1311111111111111,31,0.10333333333333333,325.70000000000005,0.5709988301487382,15.0,30.950000000000003,2.0,0.0044444444444444444,,
48,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean11,0.05,500,4,9000,450.0,121,0.2688888888888889,121,0.4033333333333333,,0.8324363114459993,117.0,139.35,1.0,0.0022222222222222222,,
49,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean12,0.05,500,4,9000,450.0,39,0.08666666666666666,39,0.12999999999999998,,,,,,,,
50,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean13,0.05,500,4,9000,450.0,77,0.1711111111111111,77,0.25666666666666665,,0.706648070664807,77.0,107.55000000000001,1.0,0.0022222222222222222,,
51,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean14,0.05,500,4,9000,450.0,68,0.1511111111111111,42,0.13999999999999999,,0.6888888888888889,32.0,45.0,1.0,0.0022222222222222222,,
52,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean15,0.05,500,4,9000,450.0,54,0.12,40,0.13333333333333333,71.9,0.5357287016217508,18.0,31.8,3.0,0.006666666666666667,,
53,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean16,0.05,500,4,9000,450.0,62,0.13777777777777778,52,0.1733333333333333,140.925,0.6201911962391699,23.5,33.15,3.0,0.006666666666666667,,
54,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean17,0.05,500,4,9000,450.0,125,0.27777777777777773,37,0.12333333333333332,,0.736779560308972,125.0,168.3,1.0,0.0022222222222222222,,
55,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean18,0.05,500,4,9000,450.0,28,0.062222222222222213,0,0.0,,0.581270182992465,,,,,,
56,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean19,0.05,500,4,9000,450.0,55,0.12222222222222222,40,0.13333333333333333,227.20000000000002,0.605979266938171,40.0,74.0,2.0,0.0044444444444444444,,
57,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean2,0.05,500,4,9000,450.0,83,0.18444444444444444,17,0.05666666666666667,,0.5952380952380952,76.0,126.0,1.0,0.0022222222222222222,,
58,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean20,0.05,500,4,9000,450.0,31,0.06888888888888889,9,0.03,,0.5363984674329502,22.0,39.150000000000006,1.0,0.0022222222222222222,,
59,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean21,0.05,500,4,9000,450.0,88,0.19555555555555554,84,0.27999999999999997,,0.7338675664276676,88.0,118.55000000000001,1.0,0.0022222222222222222,,
60,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean22,0.05,500,4,9000,450.0,156,0.3466666666666666,103,0.3433333333333333,114.10000000000001,0.799716451344155,78.0,94.625,2.0,0.0044444444444444444,,
61,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean23,0.05,500,4,9000,450.0,77,0.1711111111111111,53,0.17666666666666667,72.9625,0.6441310256446725,11.0,17.425,5.0,0.011111111111111112,,
62,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean24,0.05,500,4,9000,450.0,150,0.3333333333333333,135,0.44999999999999996,103.85000000000001,0.6605202382399415,74.5,98.47500000000001,2.0,0.0044444444444444444,,
63,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean25,0.05,500,4,9000,450.0,92,0.20444444444444446,92,0.30666666666666664,,0.9430051813471503,92.0,96.5,1.0,0.0022222222222222222,,
64,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean26,0.05,500,4,9000,450.0,123,0.2733333333333333,123,0.41,,0.713867758923347,123.0,170.9,1.0,0.0022222222222222222,,
65,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean27,0.05,500,4,9000,450.0,81,0.17999999999999997,67,0.22333333333333333,85.67500000000001,0.5203015135192163,27.0,46.33333333333334,3.0,0.006666666666666667,,
66,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean28,0.05,500,4,9000,450.0,80,0.17777777777777776,80,0.26666666666666666,164.70000000000002,0.5996717497071353,52.0,102.05000000000001,2.0,0.0044444444444444444,,
67,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean29,0.05,500,4,9000,450.0,51,0.11333333333333334,42,0.13999999999999999,139.35,0.45019681581965265,15.0,31.125000000000004,2.0,0.0044444444444444444,,
68,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean3,0.05,500,4,9000,450.0,164,0.36444444444444446,30,0.09999999999999999,,1.1264685556323426,164.0,144.70000000000002,1.0,0.0022222222222222222,,
69,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean4,0.05,500,4,9000,450.0,100,0.2222222222222222,76,0.2533333333333333,202.95000000000002,0.4990857859590856,10.0,24.8,2.0,0.0044444444444444444,,
70,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean5,0.05,500,4,9000,450.0,112,0.24888888888888885,98,0.3266666666666666,6.550000000000001,0.5118193994471725,22.75,45.225,4.0,0.008888888888888889,,
71,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean6,0.05,500,4,9000,450.0,73,0.1622222222222222,48,0.16,190.5,0.4920994682221753,31.0,59.22500000000001,2.0,0.0044444444444444444,,
72,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean7,0.05,500,4,9000,450.0,62,0.13777777777777778,56,0.18666666666666668,,0.6138392857142858,56.0,89.60000000000001,1.0,0.0022222222222222222,,
73,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean8,0.05,500,4,9000,450.0,28,0.062222222222222213,25,0.08333333333333333,,0.4005722460658082,15.0,34.95,1.0,0.0022222222222222222,,
74,USC-2320,2020-02-24,wt,m,200610_s4r1_Results.csv,0,Mean9,0.05,500,4,9000,450.0,102,0.22666666666666668,77,0.25666666666666665,202.95000000000002,0.504385384112859,10.0,24.8,2.0,0.0044444444444444444,,
75,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean1,0.05,500,4,9000,450.0,126,0.27999999999999997,121,0.4033333333333333,82.95,0.8616007042649234,63.0,72.9,2.0,0.0044444444444444444,,
76,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean10,0.05,500,4,9000,450.0,108,0.24,75,0.25,205.0,0.5596064289818259,49.0,81.05000000000001,2.0,0.0044444444444444444,,
77,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean11,0.05,500,4,9000,450.0,129,0.2866666666666666,93,0.31,102.55000000000001,0.6048980450843237,40.333333333333336,60.5,3.0,0.006666666666666667,,
78,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean12,0.05,500,4,9000,450.0,125,0.27777777777777773,99,0.33,51.45,0.4885034901995652,26.75,51.550000000000004,4.0,0.008888888888888889,,
79,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean13,0.05,500,4,9000,450.0,158,0.3511111111111111,137,0.45666666666666667,96.075,0.5900047811273373,18.0,33.125,3.0,0.006666666666666667,,
80,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean14,0.05,500,4,9000,450.0,11,0.024444444444444442,11,0.03666666666666667,,0.6688963210702341,11.0,14.950000000000001,1.0,0.0022222222222222222,,
81,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean15,0.05,500,4,9000,450.0,186,0.41333333333333333,172,0.5733333333333333,127.45,0.5877776309801676,173.0,252.3,2.0,0.0044444444444444444,,
82,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean16,0.05,500,4,9000,450.0,80,0.17777777777777776,80,0.26666666666666666,,0.6210526315789473,60.0,95.0,1.0,0.0022222222222222222,,
83,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean17,0.05,500,4,9000,450.0,127,0.2822222222222222,122,0.4066666666666666,63.650000000000006,0.5616554764669258,12.0,23.5,3.0,0.006666666666666667,,
84,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean18,0.05,500,4,9000,450.0,186,0.41333333333333333,172,0.5733333333333333,127.45,0.5877776309801676,173.0,252.3,2.0,0.0044444444444444444,,
85,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean19,0.05,500,4,9000,450.0,6,0.013333333333333332,6,0.02,,,,,,,,
86,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean2,0.05,500,4,9000,450.0,237,0.5266666666666666,163,0.5433333333333332,8.950000000000001,0.7277341219245244,110.5,161.82500000000002,2.0,0.0044444444444444444,,
87,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean20,0.05,500,4,9000,450.0,131,0.2911111111111111,96,0.32,235.45000000000002,0.6344170433935195,56.0,78.9,2.0,0.0044444444444444444,,
88,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean21,0.05,500,4,9000,450.0,147,0.3266666666666666,129,0.42999999999999994,97.30000000000001,0.5674656312205408,42.0,76.2,2.0,0.0044444444444444444,,
89,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean22,0.05,500,4,9000,450.0,134,0.29777777777777775,96,0.32,105.55000000000001,0.47496483281484975,18.0,43.900000000000006,3.0,0.006666666666666667,,
90,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean23,0.05,500,4,9000,450.0,53,0.11777777777777777,53,0.17666666666666667,,0.683311432325887,53.0,76.10000000000001,1.0,0.0022222222222222222,,
91,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean24,0.05,500,4,9000,450.0,56,0.12444444444444443,56,0.18666666666666668,,0.49469964664310945,50.0,99.05000000000001,1.0,0.0022222222222222222,,
92,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean25,0.05,500,4,9000,450.0,22,0.048888888888888885,22,0.07333333333333333,,0.7355516637478108,22.0,28.55,1.0,0.0022222222222222222,,
93,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean27,0.05,500,4,9000,450.0,201,0.44666666666666666,154,0.5133333333333333,20.916666666666668,0.5638685376882616,43.5,69.425,4.0,0.008888888888888889,,
94,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean28,0.05,500,4,9000,450.0,154,0.3422222222222222,116,0.38666666666666666,37.625,0.5447030960060276,38.0,68.06666666666666,3.0,0.006666666666666667,,
95,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean29,0.05,500,4,9000,450.0,126,0.27999999999999997,70,0.23333333333333334,9.0,0.4956057472734246,25.0,46.38333333333333,3.0,0.006666666666666667,,
96,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean3,0.05,500,4,9000,450.0,100,0.2222222222222222,65,0.21666666666666667,278.85,0.7248217636695693,50.0,66.22500000000001,2.0,0.0044444444444444444,,
97,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean30,0.05,500,4,9000,450.0,175,0.3888888888888889,159,0.5299999999999999,58.075,0.8419820217361907,55.0,60.28333333333333,3.0,0.006666666666666667,,
98,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean31,0.05,500,4,9000,450.0,196,0.43555555555555553,150,0.5,68.55,0.7984050180337834,95.5,118.30000000000001,2.0,0.0044444444444444444,,
99,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean32,0.05,500,4,9000,450.0,66,0.14666666666666667,49,0.1633333333333333,258.3,0.6125423973443025,49.0,69.75,2.0,0.0044444444444444444,,
100,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean4,0.05,500,4,9000,450.0,107,0.23777777777777775,104,0.3466666666666666,8.05,0.6194272049194328,31.333333333333332,48.35,3.0,0.006666666666666667,,
101,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean5,0.05,500,4,9000,450.0,113,0.2511111111111111,112,0.37333333333333335,9.25,1.3345663444024096,37.0,26.666666666666668,3.0,0.006666666666666667,,
102,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean6,0.05,500,4,9000,450.0,128,0.28444444444444444,80,0.26666666666666666,37.675000000000004,0.44142108198975405,23.2,49.99000000000001,5.0,0.011111111111111112,,
103,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean7,0.05,500,4,9000,450.0,37,0.08222222222222222,30,0.09999999999999999,,,,,,,,
104,USC-2320,2020-02-24,wt,m,200610_s5r1_Results.csv,0,Mean9,0.05,500,4,9000,450.0,63,0.13999999999999999,63,0.21,,1.0324729392173189,63.0,60.050000000000004,1.0,0.0022222222222222222,,
105,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean1,0.05,500,4,9000,450.0,44,0.09777777777777777,41,0.13666666666666666,,0.5494505494505494,16.0,27.3,1.0,0.0022222222222222222,,
106,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean11,0.05,500,4,9000,450.0,79,0.17555555555555555,75,0.25,6.550000000000001,0.7211391437308867,18.0,24.0,2.0,0.0044444444444444444,,
107,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean2,0.05,500,4,9000,450.0,6,0.013333333333333332,6,0.02,,,,,,,,
108,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean3,0.05,500,4,9000,450.0,64,0.14222222222222222,51,0.17,23.35,0.525423279722318,22.5,40.3,2.0,0.0044444444444444444,,
109,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean4,0.05,500,4,9000,450.0,104,0.2311111111111111,58,0.19333333333333333,41.900000000000006,0.49635799320341434,29.333333333333332,54.71666666666667,3.0,0.006666666666666667,,
110,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean5,0.05,500,4,9000,450.0,27,0.06,7,0.023333333333333334,,0.8796296296296297,20.0,21.6,1.0,0.0022222222222222222,,
111,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean6,0.05,500,4,9000,450.0,23,0.051111111111111114,1,0.003333333333333333,,0.5035971223021583,22.0,41.7,1.0,0.0022222222222222222,,
112,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean7,0.05,500,4,9000,450.0,22,0.048888888888888885,22,0.07333333333333333,,0.44280442804428044,19.0,40.650000000000006,1.0,0.0022222222222222222,,
113,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean8,0.05,500,4,9000,450.0,82,0.18222222222222223,43,0.1433333333333333,137.8,0.6375736495933029,17.333333333333332,24.03333333333333,3.0,0.006666666666666667,,
114,USC-2320,2020-02-24,wt,m,200610_s6r1_Results.csv,0,Mean9,0.05,500,4,9000,450.0,109,0.2422222222222222,109,0.36333333333333334,4.1000000000000005,0.7596235439327317,54.5,70.375,2.0,0.0044444444444444444,,
115,USC-2343,2020-03-11,wt,m,200722_s1r2_Results.csv,0,Mean1,0.05,500,4,9000,450.0,176,0.3911111111111111,91,0.30333333333333334,31.150000000000002,1.362700730121583,20.5,13.766666666666667,7.0,0.015555555555555555,,
116,USC-2343,2020-03-11,wt,m,200722_s1r2_Results.csv,0,Mean2,0.05,500,4,9000,450.0,268,0.5955555555555555,169,0.5633333333333332,78.775,1.5067942551384632,81.5,51.525,3.0,0.006666666666666667,,
117,USC-2343,2020-03-11,wt,m,200722_s1r2_Results.csv,0,Mean3,0.05,500,4,9000,450.0,318,0.7066666666666667,209,0.6966666666666667,70.65,1.1386771089303203,62.5,55.050000000000004,4.0,0.008888888888888889,,
118,USC-2343,2020-03-11,wt,m,200722_s1r2_Results.csv,0,Mean4,0.05,500,4,9000,450.0,428,0.951111111111111,329,1.0966666666666665,76.7,1.2585428114288737,13.0,13.450000000000001,3.0,0.006666666666666667,,
119,USC-2343,2020-03-11,wt,m,200722_s1r2_Results.csv,0,Mean5,0.05,500,4,9000,450.0,586,1.302222222222222,444,1.4799999999999998,70.175,1.7764285935115103,278.0,161.35000000000002,3.0,0.006666666666666667,,
120,USC-2343,2020-03-11,wt,m,200722_s1r2_Results.csv,0,Mean6,0.05,500,4,9000,450.0,326,0.7244444444444444,175,0.5833333333333333,94.30000000000001,1.1377774081886687,31.0,37.25,3.0,0.006666666666666667,,
121,USC-2343,2020-03-11,wt,m,200722_s2r2_Results.csv,0,Mean1,0.05,500,4,9000,450.0,391,0.8688888888888888,203,0.6766666666666666,122.4,1.794500742094625,203.0,112.9,2.0,0.0044444444444444444,,
122,USC-2343,2020-03-11,wt,m,200722_s2r2_Results.csv,0,Mean10,0.05,500,4,9000,450.0,151,0.3355555555555555,147,0.49,,1.6599885518030908,146.0,87.35000000000001,1.0,0.0022222222222222222,,
