,animal,birthdate,genotype,recording,start,cell,dt,end,angiotensin,potassium,pos,ctrl,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,control,genotype_2,activity_pos2,freq_pos2,perf_change,sex,exp,freq_exist,count,rel_activity,rel_intraburst_freq
23,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean11,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0249999999999999,3,120.0,,,,,,,0.5,0.7365792759051186,y,wt_ctrl,0.0249999999999999,,,,,,12,0.060648603116664083,
24,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean12,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.3833333333333333,46,120.0,,0.9146341463414632,,,,,0.5499999999999999,0.8368005527948484,y,wt_ctrl,0.3833333333333333,0.9146341463414632,,,,1.0,12,0.9299452477888529,1.1519175558999593
25,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean13,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0416666666666666,5,120.0,,,,,,,0.3999999999999999,0.8576998050682262,y,wt_ctrl,0.0416666666666666,,,,,,12,0.10108100519444038,
26,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean14,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.2749999999999999,33,120.0,,0.7894736842105263,22.0,26.6,1.0,0.0083333333333333,0.5583333333333332,0.8733624454148472,y,wt_ctrl,0.2749999999999999,0.7894736842105263,,,,1.0,12,0.6671346342833073,0.9942867324610176
27,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean16,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.075,9,120.0,,,,,,,0.5,0.5246485386607473,y,wt_ctrl,0.075,,,,,,12,0.18194580934999297,
28,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean17,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.2583333333333333,31,120.0,,0.8042895442359249,31.0,37.3,1.0,0.0083333333333333,0.5249999999999999,0.8137931034482758,y,wt_ctrl,0.2583333333333333,0.8042895442359249,,,,1.0,12,0.6267022322055312,1.0129462689951385
29,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean18,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.1833333333333333,22,120.0,34.1,0.476825266611977,12.0,21.200000000000003,2.0,0.0166666666666666,0.2333333333333333,0.5775075987841946,y,wt_ctrl,0.1833333333333333,0.476825266611977,,,,1.0,12,0.4447564228555383,0.6005279793063365
30,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean19,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0,0,120.0,,,,,,,0.7166666666666667,0.74235807860262,y,wt_ctrl,0.0,,,,,,12,0.0,
31,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean2,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.325,39,120.0,,0.4231625835189309,39.0,89.80000000000001,1.0,0.0083333333333333,0.2083333333333333,0.4471544715447154,y,wt_ctrl,0.325,0.4231625835189309,,,,1.0,12,0.7884318405166362,0.5329435937912803
32,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean23,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.6916666666666667,83,120.0,6.2,0.7328402366863905,,,,,1.1416666666666666,1.140939597315436,y,wt_ctrl,0.6916666666666667,0.7328402366863905,,,,1.0,12,1.677944686227713,0.922960877511102
33,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean24,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.7916666666666666,95,120.0,5.9,0.7989819968908279,46.5,50.25,2.0,0.0166666666666666,1.0166666666666666,1.0826470741290035,y,wt_ctrl,0.7916666666666666,0.7989819968908279,,,,1.0,12,1.9205390986943702,1.0062617853794296
34,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean26,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0,0,120.0,,,,,,,0.3166666666666666,0.6054568334350212,y,wt_ctrl,0.0,,,,,,12,0.0,
35,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean3,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.075,9,120.0,,,,,,,0.65,0.6547619047619048,y,wt_ctrl,0.075,,,,,,12,0.18194580934999297,
36,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean32,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.075,9,120.0,,,,,,,0.5,1.4114010989010983,y,wt_ctrl,0.075,,,,,,12,0.18194580934999297,
37,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean33,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.1916666666666666,23,120.0,,,,,,,0.575,0.7971864009378662,y,wt_ctrl,0.1916666666666666,,,,,,12,0.4649726238944263,
38,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean4,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.2666666666666666,32,120.0,,0.5454545454545455,,,,,0.575,0.7243243243243243,y,wt_ctrl,0.2666666666666666,0.5454545454545455,,,,1.0,12,0.6469184332444193,0.6869617424276123
39,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean5,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.25,30,120.0,,0.572139303482587,24.0,40.2,1.0,0.0083333333333333,0.4499999999999999,0.6259734310581768,y,wt_ctrl,0.25,0.572139303482587,,,,1.0,12,0.6064860311666432,0.7205693235248171
40,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean7,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.2416666666666666,29,120.0,,0.38860103626943,16.0,38.6,1.0,0.0083333333333333,0.2166666666666666,0.5056179775280899,y,wt_ctrl,0.2416666666666666,0.38860103626943,,,,1.0,12,0.586269830127755,0.4894157491388428
41,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean9,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0249999999999999,3,120.0,,,,,,,0.2749999999999999,0.5494505494505494,y,wt_ctrl,0.0249999999999999,,,,,,12,0.060648603116664083,
42,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean1,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.325,39,120.0,,0.6126126126126126,,,,,0.325,0.6126126126126126,y,wt_ctrl,,,,,,1.0,20,0.5204819277108435,0.7252741431760626
43,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean10,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.8666666666666667,104,120.0,,1.0607621009268795,,,,,0.8666666666666667,1.0607621009268795,y,wt_ctrl,,,,,,1.0,20,1.3879518072289156,1.2558398374828748
44,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean14,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.9083333333333332,109,120.0,,0.906040268456376,,,,,0.9083333333333332,0.906040268456376,y,wt_ctrl,,,,,,1.0,20,1.4546802594995365,1.0726641369416998
45,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean17,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.325,39,120.0,,0.6875,,,,,0.325,0.6875,y,wt_ctrl,,,,,,1.0,20,0.5204819277108435,0.8139335742812248
46,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean19,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.4583333333333332,55,120.0,,0.6861499364675985,,,,,0.4583333333333332,0.6861499364675985,y,wt_ctrl,,,,,,1.0,20,0.7340129749768302,0.8123352295009567
47,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean21,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.5333333333333333,64,120.0,,0.9747292418772564,,,,,0.5333333333333333,0.9747292418772564,y,wt_ctrl,,,,,,1.0,20,0.8541241890639482,1.1539852447964856
48,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean24,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,1.2,144,120.0,,1.1996644295302012,,,,,1.2,1.1996644295302012,y,wt_ctrl,,,,,,1.0,20,1.9217794253938831,1.4202867739135465
49,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean25,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.7083333333333333,85,120.0,,0.7058823529411764,,,,,0.7083333333333333,0.7058823529411764,y,wt_ctrl,,,,,,1.0,20,1.134383688600556,0.8356965040748404
50,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean28,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.175,21,120.0,,0.662020905923345,,,,,0.175,0.662020905923345,y,wt_ctrl,,,,,,1.0,20,0.28025949953660795,0.7837687886648474
51,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean31,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.5666666666666667,68,120.0,4.1000000000000005,0.6199010069977812,23.5,37.0,3.0,0.025,0.5666666666666667,0.6199010069977812,y,wt_ctrl,,,,,,1.0,20,0.9075069508804449,0.7339028979290685
52,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean32,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.9583333333333334,115,120.0,,0.9604043807919124,,,,,0.9583333333333334,0.9604043807919124,y,wt_ctrl,,,,,,1.0,20,1.5347544022242818,1.1370259933284477
53,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean33,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.9583333333333334,115,120.0,,0.9604043807919124,,,,,0.9583333333333334,0.9604043807919124,y,wt_ctrl,,,,,,1.0,20,1.5347544022242818,1.1370259933284477
54,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean36,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.6,72,120.0,,0.8942065491183878,72.0,79.4,1.0,0.0083333333333333,0.6,0.8942065491183878,y,wt_ctrl,,,,,,1.0,20,0.9608897126969416,1.0586541566103405
55,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean37,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.4166666666666666,50,120.0,,1.0583153347732182,,,,,0.4166666666666666,1.0583153347732182,y,wt_ctrl,,,,,,1.0,20,0.6672845227062093,1.252943102761595
56,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean38,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.7916666666666666,95,120.0,,0.7919123841617522,,,,,0.7916666666666666,0.7919123841617522,y,wt_ctrl,,,,,,1.0,20,1.267840593141798,0.9375477488848603
57,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean40,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.3999999999999999,48,120.0,,0.8818011257035646,48.0,53.3,1.0,0.0083333333333333,0.3999999999999999,0.8818011257035646,y,wt_ctrl,,,,,,1.0,20,0.6405931417979609,1.0439673338896145
58,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean5,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.85,102,120.0,,0.8523206751054851,,,,,0.85,0.8523206751054851,y,wt_ctrl,,,,,,1.0,20,1.3612604263206673,1.009065328759846
59,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean6,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,0.7833333333333333,94,120.0,,0.7848101265822783,,,,,0.7833333333333333,0.7848101265822783,y,wt_ctrl,,,,,,1.0,20,1.2544949026876737,0.9291393621254026
60,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean7,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,1.2916666666666667,155,120.0,,1.2919463087248322,,,,,1.2916666666666667,1.2919463087248322,y,wt_ctrl,,,,,,1.0,20,2.0685820203892495,1.5295396026761272
61,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,0,Mean9,0.1,4450,500,4.0,1,y,0.0,0.0,3250,4450,1.075,129,120.0,,1.0756302521008403,,,,,1.075,1.0756302521008403,y,wt_ctrl,,,,,,1.0,20,1.7215940685820204,1.2734422919235664
62,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean1,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.2916666666666666,35,120.0,,0.4718417047184169,32.0,65.7,1.0,0.0083333333333333,0.325,0.6126126126126126,y,wt_ctrl,0.2916666666666666,0.4718417047184169,,,,1.0,14,0.7075670363610835,0.5942515326428607
63,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean10,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.8166666666666667,98,120.0,15.3,0.9334546150900038,,,,,0.8666666666666667,1.0607621009268795,y,wt_ctrl,0.8166666666666667,0.9334546150900038,,,,1.0,14,1.9811877018110344,1.175620616242096
64,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean14,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.5583333333333332,67,120.0,,0.6900878293601003,56.0,79.7,1.0,0.0083333333333333,0.9083333333333332,0.906040268456376,y,wt_ctrl,0.5583333333333332,0.6900878293601003,,,,1.0,14,1.354485469605503,0.8691172190897225
65,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean17,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.2833333333333333,34,120.0,,0.502283105022831,34.0,65.7,1.0,0.0083333333333333,0.325,0.6875,y,wt_ctrl,0.2833333333333333,0.502283105022831,,,,1.0,14,0.6873508353221957,0.6325903412004648
66,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean19,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0,0,120.0,,,,,,,0.4583333333333332,0.6861499364675985,y,wt_ctrl,0.0,,,,,,14,0.0,
67,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean21,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0,0,120.0,,,,,,,0.5333333333333333,0.9747292418772564,y,wt_ctrl,0.0,,,,,,14,0.0,
68,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean24,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,1.025,123,120.0,,1.0209205020920502,,,,,1.2,1.1996644295302012,y,wt_ctrl,1.025,1.0209205020920502,,,,1.0,14,2.486592727783237,1.2857777661615837
69,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean25,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.3749999999999999,45,120.0,,0.4793028322440087,,,,,0.7083333333333333,0.7058823529411764,y,wt_ctrl,0.3749999999999999,0.4793028322440087,,,,1.0,14,0.9097290467499646,0.6036482994461951
70,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean28,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0,0,120.0,,,,,,,0.175,0.662020905923345,y,wt_ctrl,0.0,,,,,,14,0.0,
71,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean31,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0249999999999999,3,120.0,,,,,,,0.5666666666666667,0.6199010069977812,y,wt_ctrl,0.0249999999999999,,,,,,14,0.060648603116664083,
72,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean32,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.7583333333333333,91,120.0,,0.7582139848357202,,,,,0.9583333333333334,0.9604043807919124,y,wt_ctrl,0.7583333333333333,0.7582139848357202,,,,1.0,14,1.8396742945388178,0.9549173336188373
73,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean33,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.7583333333333333,91,120.0,,0.7575757575757576,,,,,0.9583333333333334,0.9604043807919124,y,wt_ctrl,0.7583333333333333,0.7575757575757576,,,,1.0,14,1.8396742945388178,0.9541135311494614
74,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean36,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.3583333333333333,43,120.0,,0.5349182763744428,,,,,0.6,0.8942065491183878,y,wt_ctrl,0.3583333333333333,0.5349182763744428,,,,1.0,14,0.8692966446721885,0.6736920505233641
75,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean37,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.5916666666666667,71,120.0,,0.8951406649616368,,,,,0.4166666666666666,1.0583153347732182,y,wt_ctrl,0.5916666666666667,0.8951406649616368,,,,1.0,14,1.4353502737610557,1.127366883353072
76,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean38,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.1999999999999999,24,120.0,,0.510204081632653,,,,,0.7916666666666666,0.7919123841617522,y,wt_ctrl,0.1999999999999999,0.510204081632653,,,,1.0,14,0.48518882493331433,0.6425662556720861
77,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean40,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0,0,120.0,,,,,,,0.3999999999999999,0.8818011257035646,y,wt_ctrl,0.0,,,,,,14,0.0,
78,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean5,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.6333333333333333,76,120.0,,0.6313131313131313,,,,,0.85,0.8523206751054851,y,wt_ctrl,0.6333333333333333,0.6313131313131313,,,,1.0,14,1.5364312789554961,0.7950946092912178
79,114002,2022-10-01,wt,230224_slice02_500pM_AngII_ctrl_results.csv,4450,Mean6,0.1,10450,500,4.0,2,y,0.0,0.0,7750,8950,0.0,0,120.0,,,,,,,0.7833333333333333,0.7848101265822783,y,wt_ctrl,0.0,,,,,,14,0.0,
